
Factor Contributions (avg = 1) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
7,11/12/06 04:19,1.935100E+000,7.689700E-001,8.363100E-001
7,11/14/06 02:25,2.174200E+000,9.540800E-001,6.902000E-001
7,11/14/06 03:18,9.493900E-001,5.475800E-001,4.742100E-001
7,11/16/06 03:20,1.963300E+000,7.248800E-001,8.362000E-001
7,11/16/06 04:08,1.637400E+000,8.041100E-001,1.011400E+000
7,11/18/06 03:18,1.850600E+000,9.406700E-001,1.019300E+000
7,11/18/06 04:01,1.470700E+000,8.583600E-001,1.029500E+000
7,11/20/06 02:28,2.264400E+000,9.391700E-001,9.127000E-001
7,11/20/06 03:11,2.036700E+000,8.464900E-001,9.440500E-001
7,11/22/06 02:36,1.659900E+000,1.099400E+000,1.265300E+000
7,11/22/06 03:22,1.203500E+000,7.564000E-001,1.136700E+000
7,11/24/06 02:30,1.424900E+000,7.722300E-001,1.200100E+000
7,11/24/06 03:10,1.301100E+000,6.972500E-001,1.186000E+000
7,11/26/06 02:31,1.051300E+000,6.858900E-001,1.050600E+000
7,11/26/06 03:04,8.604400E-001,5.300000E-001,1.028500E+000
7,11/28/06 02:26,9.913000E-001,2.055600E-001,1.584200E+000
7,11/28/06 03:01,6.994000E-001,1.595600E-001,1.383600E+000
7,11/30/06 02:31,7.072400E-001,1.048100E-001,1.971300E+000
7,11/30/06 03:08,5.682400E-001,1.537600E-001,1.860300E+000
7,12/02/06 02:40,7.252400E-001,5.199800E-001,1.558900E+000
7,12/02/06 05:11,4.790700E-001,3.949200E-001,1.475800E+000
7,12/04/06 02:53,1.016000E+000,3.629300E-001,2.271200E+000
7,12/04/06 05:21,7.371700E-001,1.433300E-001,2.201200E+000
7,12/06/06 02:55,1.827500E+000,1.006800E-001,2.472500E+000
7,12/06/06 03:32,1.787500E+000,-2.000000E-001,2.492300E+000
7,12/08/06 02:45,1.298600E+000,-2.000000E-001,2.679200E+000
7,12/08/06 03:28,1.069000E+000,-1.166900E-001,2.526100E+000
7,12/10/06 02:48,1.711200E+000,2.140400E+000,2.967300E+000
7,12/10/06 03:20,1.155600E+000,7.388500E-002,2.645000E+000
7,12/12/06 02:49,1.292000E+000,7.044400E-001,2.129500E+000
