
Factor Contributions (avg = 1) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,11/12/06 03:20,7.896500E-001,7.472600E-001,2.813500E+000,1.826000E+000,-2.000000E-001,1.764600E+000
17,11/12/06 06:43,7.457300E-001,9.555700E-001,2.857200E+000,1.765100E+000,-8.170800E-002,1.804500E+000
17,11/14/06 02:25,8.712900E-001,6.645100E-001,2.600800E+000,2.348000E+000,1.470800E-002,2.066600E+000
17,11/14/06 03:18,7.052300E-001,5.478500E-001,2.797800E+000,1.713100E+000,1.407900E-003,1.901600E+000
17,11/16/06 03:20,7.526300E-001,9.934100E-001,2.203700E+000,1.820800E+000,-8.176600E-002,1.374100E+000
17,11/16/06 04:08,8.640700E-001,8.927200E-001,1.981200E+000,1.560000E+000,6.574800E-002,1.536100E+000
17,11/18/06 03:18,1.107200E+000,1.125700E+000,2.079400E+000,1.467900E+000,6.294400E-002,1.132300E+000
17,11/18/06 04:01,8.417400E-001,1.007200E+000,2.041300E+000,1.246900E+000,1.016800E-001,1.477200E+000
17,11/20/06 02:28,6.148700E-001,7.944900E-001,2.481300E+000,1.695500E+000,9.194500E-002,1.483700E+000
17,11/20/06 03:11,3.970400E-001,5.519500E-001,3.125200E+000,2.051000E+000,1.551900E-001,1.984100E+000
17,11/22/06 02:36,9.542800E-001,7.987600E-001,2.097900E+000,1.609700E+000,9.910700E-001,2.036000E+000
17,11/22/06 03:22,9.212500E-001,7.741300E-001,2.064600E+000,1.313600E+000,1.174500E+000,1.658800E+000
17,11/24/06 02:30,1.393700E+000,1.214700E+000,2.090600E+000,1.674000E+000,1.426100E-001,1.460900E+000
17,11/26/06 02:31,9.480300E-001,9.169000E-001,1.551000E+000,1.057500E+000,1.637800E+000,1.203000E+000
17,11/26/06 03:04,8.634100E-001,8.692500E-001,1.385900E+000,8.329900E-001,1.013100E+000,7.771700E-001
17,11/28/06 02:26,1.157800E+000,1.485400E+000,1.074400E+000,7.696000E-001,9.197300E-001,1.895400E-001
17,11/28/06 03:01,1.069100E+000,1.325200E+000,9.503900E-001,3.441600E-001,2.225900E+000,2.835400E-002
17,11/30/06 02:31,1.247500E+000,2.280600E+000,7.893500E-001,7.274800E-001,4.804100E-001,3.705300E-001
17,11/30/06 03:08,1.085800E+000,2.101900E+000,8.761700E-001,4.317800E-001,3.585600E-001,1.246100E-001
17,12/02/06 02:40,1.181900E+000,1.864800E+000,4.072100E-001,2.908600E-001,6.763500E-001,2.412600E-001
17,12/02/06 05:11,9.183000E-001,1.694100E+000,4.734600E-001,4.523100E-001,7.979500E-001,4.026200E-001
17,12/04/06 02:53,1.309500E+000,2.177900E+000,1.008600E+000,7.676300E-001,2.325800E+000,3.912300E-001
17,12/04/06 05:21,1.310300E+000,2.311700E+000,1.096900E+000,6.493000E-001,1.546700E+000,-2.504300E-002
17,12/06/06 02:55,1.535500E+000,2.882100E+000,2.789000E+000,1.665200E+000,2.454800E-001,-3.136800E-003
17,12/06/06 03:32,1.292700E+000,3.198300E+000,3.661500E+000,1.683700E+000,1.599500E-001,-2.000000E-001
17,12/08/06 02:45,9.529300E-001,3.017800E+000,2.399800E+000,1.176500E+000,1.756700E+000,9.334400E-002
17,12/08/06 03:28,8.169700E-001,2.994200E+000,2.680000E+000,1.107700E+000,1.040000E+000,2.219500E-001
17,12/10/06 02:48,1.422400E+000,3.354200E+000,2.448300E+000,1.246800E+000,9.053000E-001,8.693700E-001
17,12/10/06 03:20,1.195700E+000,3.162700E+000,1.207500E+000,-1.552000E-001,7.590200E-001,3.266200E-001
17,12/12/06 02:49,8.539100E-001,2.318100E+000,2.075500E+000,1.131700E+000,8.971700E-001,7.556400E-001
17,12/12/06 03:18,8.869700E-001,2.184000E+000,2.092300E+000,1.189700E+000,1.033600E+000,1.018500E+000
17,12/14/06 02:50,1.067700E+000,1.915400E+000,1.827100E+000,1.123300E+000,3.264400E+000,5.300000E-001
17,12/14/06 03:19,9.805800E-001,1.802100E+000,1.765600E+000,7.469000E-001,2.062500E+000,6.601800E-001
17,12/16/06 02:39,8.027500E-001,2.171200E+000,1.948000E+000,7.366300E-001,1.876400E+000,3.410700E-001
17,12/16/06 03:09,8.381000E-001,1.817500E+000,1.654700E+000,4.646200E-001,1.523800E+000,3.399300E-001
17,12/18/06 02:36,9.081000E-001,2.462800E+000,2.043000E+000,5.818700E-001,7.005700E-001,1.219300E+000
17,12/18/06 03:10,7.753400E-001,2.396000E+000,1.960800E+000,4.778300E-001,6.851100E-001,4.316900E-001
17,12/20/06 02:55,1.183300E+000,2.638900E+000,1.547500E+000,5.566000E-001,1.124000E+000,7.704500E-001
17,12/20/06 03:26,1.024200E+000,2.268800E+000,1.562200E+000,5.685400E-001,1.130300E+000,1.229600E+000
17,12/22/06 02:57,1.093600E+000,2.498600E+000,1.497200E+000,5.133200E-001,6.491900E-001,1.962900E+000
17,12/22/06 03:29,9.351200E-001,2.241000E+000,1.389900E+000,3.839400E-001,6.041800E-001,1.229200E+000
17,12/24/06 04:00,1.227000E+000,2.695400E+000,8.624500E-001,4.479100E-001,1.045700E+000,9.104800E-001
17,12/24/06 04:27,1.558500E+000,2.996600E+000,8.165000E-001,6.394600E-002,8.418700E-001,2.360600E-001
17,12/26/06 02:52,1.126700E+000,3.082300E+000,8.050800E-001,4.264200E-001,2.791900E+000,5.525700E-001
17,12/26/06 03:20,1.064700E+000,2.985000E+000,8.639600E-001,3.255900E-001,3.162700E+000,4.727400E-001
17,12/28/06 02:53,1.340000E+000,2.234400E+000,4.281400E-001,5.108700E-001,1.892900E+000,8.106700E-001
17,12/28/06 03:22,1.388500E+000,2.396000E+000,5.447000E-001,3.120800E-001,1.569800E+000,7.654400E-001
17,12/30/06 03:04,1.666800E+000,2.316400E+000,-2.000000E-001,1.831700E+000,1.161000E+000,1.603600E+000
17,01/01/07 03:20,7.066000E-001,2.695600E+000,4.686500E+000,2.481400E+000,3.169800E+000,2.679000E+000
17,01/01/07 03:27,2.108000E-001,2.651900E+000,4.302900E+000,3.801200E+000,2.741100E+000,3.022800E-001
17,01/03/07 03:07,-1.934500E-001,-1.294600E-002,8.031000E+000,1.314400E+001,1.499600E-001,2.674000E-001
17,01/03/07 03:25,-2.000000E-001,1.350000E-001,7.871600E+000,1.460000E+001,2.607900E-001,-2.000000E-001
17,01/05/07 02:54,5.881600E-001,-2.000000E-001,4.818000E+000,1.863300E+001,2.034900E+000,4.943600E-001
17,01/05/07 02:58,5.398600E-001,-1.117500E-001,3.688500E+000,1.924500E+001,2.416900E+000,-2.000000E-001
17,01/07/07 02:53,3.602700E-001,1.508200E+000,5.036300E+000,6.195100E+000,6.644900E-001,1.532300E+000
17,01/07/07 03:09,3.996700E-001,1.143700E+000,5.676000E+000,5.446500E+000,6.564300E-001,2.480900E+000
17,01/09/07 02:25,-2.000000E-001,2.059900E+000,7.847800E+000,6.700400E+000,-2.000000E-001,6.942100E-001
17,01/09/07 03:02,-2.000000E-001,1.739100E+000,8.031100E+000,8.290500E+000,-2.000000E-001,1.081300E+000
17,01/11/07 02:28,1.465800E-001,2.101800E+000,7.213200E+000,2.552100E+000,1.009600E+000,1.337900E+000
17,01/11/07 02:55,-9.950100E-002,1.878700E+000,8.827700E+000,5.184400E+000,1.896700E+000,2.244100E+000
17,01/13/07 02:51,5.768700E-001,9.377800E-001,3.936600E+000,1.019700E+001,6.476200E-001,-2.000000E-001
17,01/13/07 03:27,3.893700E-001,5.203300E-001,4.920500E+000,8.540300E+000,5.939800E-001,1.432600E+000
17,01/15/07 02:43,9.035700E-001,1.590100E+000,1.490900E+001,2.438900E+001,6.353400E-001,4.086300E-001
17,01/15/07 03:19,3.041600E-001,3.771600E-001,6.749200E+000,1.167100E+001,4.807800E-001,8.661200E-001
17,01/17/07 02:40,4.924100E-001,1.208100E+000,6.568800E+000,5.184900E+000,6.221900E-001,1.594000E+000
17,01/17/07 03:14,5.380800E-001,1.031500E+000,6.550000E+000,5.764000E+000,7.263700E-001,1.958900E+000
17,01/19/07 03:06,2.425800E-001,1.118500E+000,8.467200E+000,1.055200E+001,3.714500E-001,5.628300E-001
17,01/19/07 03:40,7.371700E-002,7.364600E-001,7.110600E+000,6.999900E+000,4.504700E-001,1.248600E+000
17,01/21/07 02:59,4.065600E-001,1.148500E+000,5.881300E+000,5.578400E+000,1.601600E+000,2.025200E+000
17,01/21/07 03:30,6.713700E-001,7.266400E-001,4.012800E+000,8.024600E+000,2.437500E+000,2.166700E+000
17,01/23/07 05:16,5.415100E-001,1.949700E+000,5.854000E+000,3.886200E+000,-1.861200E-001,2.098800E+000
17,01/23/07 07:32,7.006600E-001,1.801100E+000,6.338900E+000,4.053000E+000,-1.548500E-001,1.993600E+000
17,01/25/07 03:02,6.204400E-001,1.615200E+000,3.794600E+000,1.950600E+000,1.440200E+000,1.902800E+000
17,01/25/07 05:42,7.019000E-001,1.406800E+000,3.812500E+000,1.652100E+000,2.433800E+000,2.043300E+000
17,01/27/07 02:55,6.129200E-001,1.931600E+000,3.044000E+000,1.341800E+000,-5.562100E-002,1.203900E+000
17,01/27/07 03:15,5.770800E-001,1.871200E+000,3.152000E+000,1.209700E+000,-1.165500E-002,1.376000E+000
17,01/29/07 03:00,1.383700E+000,2.099700E+000,3.201800E+000,1.564700E+000,2.185100E-002,1.029400E+000
17,01/29/07 03:26,6.925900E-001,1.798000E+000,2.772500E+000,8.750800E-001,3.225100E-001,1.352900E+000
17,01/31/07 02:59,9.648600E-001,1.852900E+000,1.264900E+000,5.475300E-001,9.365500E-001,6.405000E-001
17,01/31/07 03:30,7.670500E-001,1.628300E+000,1.494500E+000,3.794900E-001,8.793500E-001,1.084900E+000
17,02/02/07 02:41,1.062900E+000,1.745400E+000,1.286100E+000,7.777800E-001,5.768600E-001,8.980900E-001
17,02/02/07 03:13,7.691800E-001,1.664400E+000,1.288200E+000,3.919200E-001,5.784200E-001,8.112200E-001
17,02/04/07 02:45,8.693900E-001,1.674200E+000,1.550900E+000,5.885000E-001,3.641400E-001,1.133100E+000
17,02/04/07 03:16,6.945700E-001,1.790100E+000,1.868900E+000,4.742200E-001,3.220500E-001,1.200200E+000
17,02/06/07 02:47,1.104700E+000,9.011600E-001,4.236500E-001,6.922800E-001,1.096500E+000,1.794200E+000
17,02/06/07 03:20,9.716300E-001,8.747700E-001,4.500800E-001,3.886000E-001,8.460100E-001,1.774900E+000
17,02/08/07 02:47,1.036600E+000,1.095900E+000,4.836100E-001,5.473500E-001,5.459700E-001,2.220300E+000
17,02/08/07 03:14,9.575200E-001,9.605500E-001,5.087300E-001,3.639600E-001,6.178100E-001,2.396300E+000
17,02/10/07 02:43,1.179600E+000,1.043200E+000,3.128000E-001,6.969300E-001,7.717500E-001,1.798700E+000
17,02/12/07 02:42,1.102300E+000,6.407500E-001,1.531500E-001,5.298400E-001,1.576300E+000,1.105100E+000
17,02/12/07 03:09,9.280300E-001,7.713800E-001,2.116400E-001,3.101600E-001,1.279300E+000,8.945400E-001
17,02/14/07 02:34,1.015400E+000,1.290600E+000,4.335100E-001,4.280500E-001,8.019000E-001,3.027700E-001
17,02/14/07 03:01,8.581200E-001,1.117800E+000,5.149300E-001,3.845400E-001,6.351000E-001,6.560100E-001
17,02/16/07 02:20,1.028300E+000,1.312400E+000,1.207500E+000,8.332000E-001,2.062100E-001,8.040900E-001
17,02/16/07 02:51,9.706600E-001,1.282300E+000,1.222400E+000,6.451600E-001,4.156700E-001,8.286000E-001
17,02/18/07 02:08,1.652900E+000,7.988400E-001,1.030800E+000,1.189000E+000,5.343800E-001,1.942600E+000
17,02/18/07 02:34,1.111700E+000,8.108600E-001,6.867100E-001,4.820600E-001,5.980800E-001,8.335700E-001
17,02/20/07 02:12,1.005000E+000,3.817900E-001,7.944400E-001,1.008200E+000,7.964100E-001,3.212900E+000
17,02/20/07 02:37,8.159900E-001,3.412600E-001,8.337600E-001,6.515700E-001,5.240000E-001,2.948500E+000
17,02/22/07 02:11,1.240800E+000,8.470200E-001,6.051600E-001,3.906100E-001,7.576400E-001,1.520500E+000
17,02/22/07 02:35,1.003100E+000,6.269300E-001,5.670300E-001,2.816900E-001,7.874700E-001,1.501200E+000
17,02/24/07 02:17,1.307600E+000,1.541800E+000,1.064700E+000,4.842600E-001,8.778200E-001,7.165900E-001
17,02/24/07 02:38,1.139500E+000,1.489900E+000,1.075000E+000,3.457000E-001,6.789300E-001,4.446100E-001
17,02/26/07 00:17,1.071500E+000,9.746500E-001,8.739200E-001,7.014400E-001,7.214900E-001,8.819900E-001
17,02/26/07 00:46,7.929800E-001,9.133000E-001,8.850600E-001,4.852100E-001,5.470800E-001,7.277300E-001
17,02/28/07 00:09,1.064400E+000,1.277100E+000,9.486800E-001,8.615700E-001,2.358900E-001,7.369600E-001
17,02/28/07 00:39,8.156700E-001,1.202100E+000,9.475800E-001,6.791600E-001,2.681800E-001,7.696200E-001
17,03/02/07 00:06,9.632200E-001,1.165300E+000,1.000200E+000,7.013100E-001,4.480400E-001,4.891900E-001
17,03/02/07 00:30,8.479500E-001,1.107100E+000,1.036100E+000,6.200400E-001,3.785900E-001,5.426600E-001
17,03/04/07 00:26,6.864300E-001,9.944400E-001,2.107400E+000,1.604600E+000,3.055600E-001,1.053200E+000
17,03/04/07 00:54,6.145600E-001,9.839900E-001,1.770400E+000,8.478600E-001,3.469500E-001,7.804100E-001
17,03/06/07 00:33,3.260100E-001,4.341800E-001,4.204100E+000,1.790000E+000,8.190600E-001,2.373800E+000
17,03/06/07 01:01,2.910700E-001,7.563700E-001,3.264200E+000,9.063500E-001,8.897200E-001,1.031100E+000
17,03/08/07 00:13,7.531700E-001,5.725000E-001,1.865200E+000,1.111900E+000,1.551900E-001,1.725400E+000
17,03/08/07 00:42,7.127100E-001,5.180400E-001,1.835500E+000,8.003300E-001,2.881400E-001,1.868500E+000
17,03/10/07 00:11,7.945500E-001,6.869500E-001,1.771900E+000,1.026300E+000,1.528500E-001,1.527500E+000
17,03/10/07 00:43,6.812800E-001,5.962500E-001,1.632400E+000,7.034500E-001,2.307600E-001,1.190900E+000
17,03/12/07 00:18,8.505500E-001,6.697900E-001,1.426400E+000,7.674800E-001,6.297800E-001,1.675500E+000
17,03/12/07 00:44,5.856200E-001,7.330900E-001,1.499000E+000,6.284800E-001,7.537000E-001,1.344500E+000
17,03/14/07 00:44,7.127900E-001,6.503000E-001,1.163500E+000,6.893700E-001,4.256800E-001,1.375100E+000
17,03/16/07 00:10,1.448700E+000,6.494300E-001,4.565800E-001,9.023300E-001,4.767800E-001,1.437000E+000
17,03/16/07 00:42,1.308500E+000,3.729500E-001,5.341300E-001,7.089200E-001,5.407700E-001,1.627800E+000
17,03/18/07 00:15,1.045200E+000,7.948800E-001,3.860500E-001,4.382000E-001,4.513000E-001,7.930200E-001
17,03/18/07 00:52,8.691600E-001,5.693000E-001,5.282400E-001,5.491700E-001,5.494800E-001,1.264100E+000
17,03/20/07 00:26,1.091600E+000,6.159900E-001,1.115800E+000,7.505000E-001,1.256500E+000,1.408600E+000
17,03/20/07 00:53,7.166500E-001,3.970400E-001,9.841100E-001,6.261200E-001,1.761600E+000,1.342200E+000
17,03/22/07 00:21,8.742300E-001,6.572800E-001,1.177000E+000,7.712200E-001,1.040100E+000,1.121400E+000
17,03/22/07 00:46,6.279500E-001,5.371900E-001,1.092400E+000,4.726700E-001,8.360700E-001,8.473200E-001
17,03/24/07 00:07,9.559400E-001,4.701400E-001,6.267800E-001,5.486000E-001,5.939000E-001,1.205300E+000
17,03/24/07 00:30,8.658800E-001,5.056700E-001,7.301100E-001,3.953500E-001,5.578600E-001,1.040700E+000
17,03/26/07 00:47,1.747500E+000,4.189200E-001,3.730600E-002,4.305700E-001,4.036400E-001,1.074100E+000
17,03/26/07 01:08,1.548800E+000,2.212300E-003,1.577700E-001,3.482200E-001,3.610000E-001,2.036000E+000
17,03/28/07 00:47,1.525000E+000,9.115000E-001,1.881000E-001,1.454200E-001,7.062300E-001,6.968600E-001
