Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8537.597542411,9269.1460546011,9446.1583253916,9421.4523274798,9590.7776331739,8706.8291760647,7041.4884910924,7554.7137083889,7958.1152402438,8030.2539502737,8528.7600593506,9057.5633748687,9088.631290387,9707.5669553527,10138.4745861281,10376.3642508806,10523.0815223982,10620.3434291409,10005.2367523625,10330.7365414172,13590.5210501438,12917.3955022801,13279.0457951397,14541.6160485141,16275.1804236433,18418.0726743768,19669.3195545631,21167.6187062133,23043.0253174017,19166.7082382358,20386.0175551116,22238.7119502059,23063.1322870426,24378.9448284188,24855.2156350086,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.3374336237,1651.4592951961,1752.9531164064,1867.124019352,1994.5402944666,2144.907585773,2322.9756385302,2556.8688574433,2804.6698214309,3215.4475785563,3179.2388077713,3297.9231251474,3322.5748408718,3696.6427717382,3416.5869787193,3156.4680594234,3328.5814260906,3617.1227386642,4130.7918674415,5531.9897300498,6338.6499572771,6622.4396947132,7165.1344909772,7695.0063281302,8873.7305230941,9888.6157556544,10339.4777779636,11150.7816640714,11381.9594791094,12157.7892041055,12350.8804781187,11914.8121340242,11682.1288603818,11402.651522136,11812.1223763424,12239.8278071469,12717.0603822518,17288.0565080427,18456.9907672364,20505.947433679,21241.1653927108,21497.3081566811,22505.4047934793,22008.4337005989,21995.5199216219,23405.8795479327,23721.1562800587,24306.1424243044,23657.365306222,22043.0125711709,21920.5165867583,21514.8986531628,22112.6083547268,22315.6036533886,22217.4941392075,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.5596046786,481.1650399215,731.1209512179,971.5460642847,1090.2570560445,1238.1733850728,1451.6640018368,1512.9930140556,1746.4863834672,2192.6470782437,2619.7532575373,2844.4318123434,3269.5485275044,4020.6723021597,4873.206648014,4498.722970547,4392.4951719295,4779.659571195,4415.9235917245,4666.2195860922,4790.0496582209,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.7403040648,1747.4386712776,1666.2275129416,1590.0354090294,1460.0175436025,1370.6727097518,1452.4470018171,1396.5021663728,1511.7702679813,1209.61488078,1273.0491239487,1244.4419967652,1479.4653211322,1819.4790277163,2378.374893912,3126.3677777946,3848.5862030089,4735.9568891887,6376.1731149128,5176.044701382,5818.8548592158,6305.7736624765,6721.8349077397,7722.1233506044,8040.0475569713,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,304.9102813579,316.4169522177,327.116961874,336.9418346331,351.1651149837,377.5872027185,406.1091238146,420.4057603594,386.9532469547,396.6576424384,435.7011786159,474.4480222259,519.5716725044,605.9334424752,786.0750610516,885.9779085781,717.0507881724,858.8155426269,980.7731053737,1074.2491578679,1351.0138674029,1307.2116883293,1183.1839364216,1212.9380053908,1315.3135173567,1268.22139756,1343.6928702011,1586.3956036392,1758.9722105851,1979.3426718265,2202.3225558778,2326.8337283586,2666.9227315607,2833.0756186576,2880.1540311257,2996.3973397697,3001.6933494159,2952.5755126272,2991.8600437577,3065.5179110732,3364.4645817946,3419.2087146099,3556.6161603803,3679.7928154214,3831.6098303059,3933.2343731798,4187.2328899987,4324.8310171144,4470.220795976,4258.8428764832,4344.1366690609,4517.1239971688,4674.2933767341,4719.1379545778,4831.1775518618,
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.4021189224,1961.5381692465,2020.3859650335,2020.2652475245,2199.7270069118,2282.2165461624,2630.8504663295,2982.7497042611,2830.1886792453,3053.7037037037,3387.2727272727,3866.3003663004,4343.1734317343,5009.2936802974,5853.9325842697,6509.4339622642,7261.2781954887,8370.7865168539,8876.8656716418,9613.3828996283,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143783,,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,152.4617632455,162.695618995,174.4934314509,184.2754408284,203.6012514876,223.2783299318,239.3750889783,255.8479060606,210.1897929026,218.5560983213,225.7484989642,238.1114415294,267.6865800739,263.2105571843,428.4324268161,480.0505725846,533.6275534809,616.6670740015,702.4291798538,808.4191206125,811.7773315341,1031.5163420435,958.6872466734,909.8474556902,1013.8004376264,865.6902500031,624.715420031,672.5651748986,697.3705600782,701.4646141371,709.9486541479,764.1413320844,791.3813169915,788.3991365374,806.2211258916,887.4682896849,958.4735177861,1006.9640990202,1058.7183537835,1012.5100207967,1007.0028688845,958.2363140636,913.575853422,917.3643104862,978.3347575767,1046.4278428307,1233.59297373,1389.6317502607,1736.9240141515,1776.8571896237,1981.160105257,2377.7006897289,2645.2902743317,2948.0329176307,3124.0807621235,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,209.1987851411,203.9551541682,258.7576685374,290.0582841423,259.4669688136,259.004152121,312.8819081493,344.2945120366,371.3930967497,400.2628588745,440.9931062946,500.0341120468,580.4884952537,767.3098515096,993.2896412467,1140.9011495971,1374.5357580132,1548.3982668557,1723.1372346666,1885.0910571786,1923.2826152137,2106.6789566193,2199.7019928049,1551.7730360365,1560.4557886204,1629.2649091607,1919.8648036438,2064.6540114113,2276.2405561,2879.4998702858,3071.6279531441,3942.4039411955,2578.2070086443,2774.174126945,3482.5298163741,4827.1524426348,5163.2658126966,5279.1112978472,5083.7009642494,3476.1440381963,3738.7194117205,3136.4967334247,2810.2307896012,3044.2550266916,3597.9788356531,4733.1641810725,5809.1890959459,7240.9239833775,8700.4552018376,8462.5083455869,11124.2457796398,13042.4219326201,11922.5130576782,11711.004404501,11384.4150095055,
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,4013.8485816788,4402.5790067137,4585.3376984614,4856.3599524099,5277.8855888808,5507.5277126232,6028.5392746104,6616.1129233011,7011.9518473145,7732.2572789569,7727.8505928218,7733.3737038157,7464.2235986941,7842.6933183316,8148.5703777305,8537.8973884684,9069.2367215013,9549.1844294567,10726.8931934295,11200.2906803404,11568.0519422765,11513.3401801349,11674.9361829092,12028.8987405468,12869.3365947615,14223.7777039775,15646.815008726,16461.8292691759,16569.6049618665,16526.2545517227,15901.4329353355,15530.8942915589,15317.1390013495,15153.8213753482,15366.2926106288,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1112.3164657918,1235.536485812,1233.8520196743,1360.8455740107,1301.4029440187,1380.4168636732,1455.415568112,1909.3781256065,2924.9731782185,6953.4446429068,7265.619224343,8506.9095882165,9968.1357273435,10765.3193588604,15010.6539329407,25530.4130799064,21925.7886548709,20795.0431161879,18227.2244857442,17439.5812149899,15797.4820020055,10280.7661871402,11672.4444351079,11084.3153498771,11954.4001284756,13701.8970422471,14002.1071342971,15381.3139100223,14678.0715929009,14220.6363441058,16046.9815826138,16913.9353639107,16779.3384713214,12784.7662234822,14205.7737205539,18154.8349324604,16616.798045418,17016.9434933055,18758.9808946915,22131.9460641106,26337.9181126619,31157.6884478525,32707.7043073602,37798.3935034007,27726.481053695,31453.2243965354,41787.0214028978,41807.6533410575,39151.2342290391,40979.6419433378,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,328.807849422,345.3553416898,342.8625160585,372.2797564554,371.0852953559,367.1936675572,415.9357837009,505.4026208174,548.9719598454,521.3645020334,559.8216185514,467.6568699846,474.9128635881,453.3890922583,529.5484885852,595.5104133902,617.5547709058,702.5389844019,706.5620391365,764.1242598694,778.3912660161,820.2028588625,897.445333164,1009.0062318469,1107.9205956407,1257.5486400866,1346.0857748005,1755.1617090429,1810.576177044,1786.8106720059,2201.2930777894,2485.7870521685,2452.1515879374,2383.0447299026,2560.5011541718,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,58.0338467505,61.3195387723,64.8101455338,67.5008913258,71.8068333149,76.8600292627,83.9638215337,92.8950019289,101.8063205848,115.2405136168,138.8750097607,177.3575384155,223.3893748696,319.0426733333,386.1693195217,432.0634860512,435.6979990093,508.7052495458,639.4499923211,854.3291052424,1064.7964432691,1039.4351646076,948.581221413,1058.8270247483,1083.9560635789,942.3822454305,1139.9185704692,1558.8132853699,2034.1212092958,2301.6811802146,2747.2084382572,2776.4230618989,2839.1969630862,2772.7327735196,2767.3537402707,3001.1026308103,3007.6136227953,3050.2335865279,2854.6734019208,3210.2318804722,3333.1795496534,3114.6165937873,3044.1273533896,4149.0413774884,4879.4594615473,5327.8535176786,5342.1403362253,5666.6378469257,5561.898239986,5115.119246672,6244.0025738727,7504.850907449,6935.5936526659,6882.2583727087,7123.3392413015,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,74.5962911298,80.5206961506,79.968068727,81.5878291699,87.8588065622,91.3222074333,93.845420617,95.3244020286,109.2530119714,104.9238121119,103.4097966264,108.0305906113,121.1751673548,139.9739142845,142.4105582651,187.6989973937,218.8411744203,240.6061744055,282.826656933,316.5312549199,350.4902816155,296.8917645648,310.285094928,264.9910859459,249.3013965621,329.1626463187,416.9955080882,436.5397383592,450.1869539597,429.7903622704,490.3995393239,457.4552983375,457.0583079434,403.2931148771,261.6021372142,334.3654766989,294.9204314225,268.0862194938,270.4307454843,273.5813579156,245.4343849293,245.5632726456,256.850608771,290.5096582522,318.4837946257,332.9466400768,353.8944517064,404.1131818544,463.8276186307,454.3693169169,446.8002045528,484.583218122,469.6842870568,326.4371085133,358.5378358576,
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2294.5688142158,2231.2938237478,2255.2300441304,2354.8391219798,2529.5181790541,2739.5858492819,3010.7059075795,3173.0761935223,3411.0601543446,3703.9904052553,4115.6565159617,4579.2725437199,5133.7877955448,5861.6616411985,7032.7495410793,7478.5359107593,8770.3469803544,8879.2210398638,9082.208530225,9997.1984323076,11118.4825114339,12279.0603568666,12437.6250884183,13368.9067398958,13768.8791019052,13991.2145509173,14335.7438678744,16158.9874251888,18814.5645471792,20586.5575115274,21302.396912001,21591.1391612209,20692.7220252261,19936.3770646304,19785.6790398347,20509.0030863168,21129.4354271046,21709.2963371821,20875.2483089147,22109.6039862186,24031.9512017887,23573.7500651106,23995.0163265338,28026.0060130447,31830.0118713303,36028.2324902754,40243.5522837141,44328.4753768925,46400.4418456756,40764.1413468899,47463.6311923649,52086.533524627,52733.4736890102,52305.2583938465,50235.3855086004,
